Metodo: Diferencas Finitas
x = 0.000000, y = 40.000000
x = 0.526316, y = 50.319289
x = 1.052632, y = 60.559848
x = 1.578947, y = 70.698353
x = 2.105263, y = 80.711474
x = 2.631579, y = 90.575886
x = 3.157895, y = 100.268261
x = 3.684211, y = 109.765272
x = 4.210526, y = 119.043592
x = 4.736842, y = 128.079895
x = 5.263158, y = 136.850853
x = 5.789474, y = 145.333139
x = 6.315789, y = 153.503426
x = 6.842105, y = 161.338388
x = 7.368421, y = 168.814696
x = 7.894737, y = 175.909025
x = 8.421053, y = 182.598046
x = 8.947368, y = 188.858434
x = 9.473684, y = 194.666861
x = 10.000000, y = 200.000000
