Método: Shooting
x = 0.000000, y = 40.000000
x = 0.526316, y = 50.550013
x = 1.052632, y = 61.015420
x = 1.578947, y = 71.367237
x = 2.105263, y = 81.576795
x = 2.631579, y = 91.615819
x = 3.157895, y = 101.456508
x = 3.684211, y = 111.071607
x = 4.210526, y = 120.434489
x = 4.736842, y = 129.519224
x = 5.263158, y = 138.300650
x = 5.789474, y = 146.754450
x = 6.315789, y = 154.857211
x = 6.842105, y = 162.586492
x = 7.368421, y = 169.920888
x = 7.894737, y = 176.840087
x = 8.421053, y = 183.324926
x = 8.947368, y = 189.357446
x = 9.473684, y = 194.920940
x = 10.000000, y = 200.000000
