Método: Diferenças Finitas

x = 0.000000, y = 40.000000
x = 0.588235, y = 51.528598
x = 1.176471, y = 62.955424
x = 1.764706, y = 74.247914
x = 2.352941, y = 85.373499
x = 2.941176, y = 96.299613
x = 3.529412, y = 106.993690
x = 4.117647, y = 117.423163
x = 4.705882, y = 127.555465
x = 5.294118, y = 137.358030
x = 5.882353, y = 146.798290
x = 6.470588, y = 155.843680
x = 7.058824, y = 164.461632
x = 7.647059, y = 172.619581
x = 8.235294, y = 180.284958
x = 8.823529, y = 187.425198
x = 9.411765, y = 194.007735
x = 10.000000, y = 200.000000
