x = 0.000000, y = 40.000000
x = 0.588235, y = 47.503892
x = 1.176471, y = 55.102981
x = 1.764706, y = 62.823568
x = 2.352941, y = 70.692377
x = 2.941176, y = 78.736642
x = 3.529412, y = 86.984207
x = 4.117647, y = 95.463617
x = 4.705882, y = 104.204223
x = 5.294118, y = 113.236277
x = 5.882353, y = 122.591041
x = 6.470588, y = 132.300893
x = 7.058824, y = 142.399442
x = 7.647059, y = 152.921640
x = 8.235294, y = 163.903908
x = 8.823529, y = 175.384256
x = 9.411765, y = 187.402421
x = 10.000000, y = 200.000000
